,option_distance_100_km,option_grade,option_beds,option_rep
0.0,5.0008296966552734e-05,0.012936678405574933,0.0010161646709944292,0.0002065999397815055
0.05,0.04547119140625,0.015956340174115076,0.001253356437794532,0.000254824214976602
0.1,0.06903076171875,0.01788944230710161,0.001405199904206928,0.0002856960332088933
0.15000000000000002,0.0889892578125,0.019763713631035875,0.0015524222624916637,0.00031562831802878585
0.2,0.10748291015625,0.021719008144849117,0.0017060089208312582,0.0003468545506168078
0.25,0.125,0.023784285387436353,0.001868234625446559,0.0003798372174632496
0.30000000000000004,0.142578125,0.026080932994790727,0.002048634268009497,0.000416514890240079
0.35000000000000003,0.159912109375,0.028575564524335188,0.0022445853729221358,0.0004563543843994784
0.4,0.177001953125,0.031259702619627516,0.002455422051317955,0.0004992203157821172
0.45,0.1943359375,0.034197698965549084,0.0026861990712483304,0.0005461403866933723
0.5,0.2120361328125,0.03738800860523132,0.002936795077714797,0.0005970899240304577
0.55,0.2303466796875,0.04082261616074963,0.0032065804698556584,0.0006519409214733095
0.6000000000000001,0.249755859375,0.04448734629964484,0.0034944417878172316,0.0007104669976633879
0.65,0.271484375,0.04838436493871767,0.0038005491624525994,0.0007727027424905059
0.7000000000000001,0.2958984375,0.05208616723720518,0.004091322465830686,0.0008318208644669306
0.75,0.322509765625,0.05470661074307803,0.004297155990443717,0.0008736695874189416
0.8,0.3525390625,0.05526334169195883,0.004340886715113975,0.000882560631696869
0.8500000000000001,0.3916015625,0.05205595993353454,0.004088949708787976,0.0008313384510588161
0.9,0.447021484375,0.04269906812282808,0.0033539741153420137,0.0006819080312842198
0.9500000000000001,0.53466796875,0.02749508435754095,0.002159714609439809,0.0004390990171099427
1.0,1.51171875,0.0014228795407889426,0.00011176593211186366,2.2723516673078127e-05
