,option_distance_100_km,option_grade,option_beds,option_rep
0.0,6.99758529663086e-05,0.033734497988124806,0.0010434705257963749,0.00027234300864468147
0.05,0.05767822265625,0.038293011097813474,0.0011844737822577854,0.0003091444804103458
0.1,0.0908203125,0.04125650294168552,0.0012761400757241056,0.00033306913715603676
0.15000000000000002,0.118408203125,0.04393074068932086,0.0013588592040660143,0.0003546586078005551
0.2,0.142578125,0.046436913518414044,0.0014363797730879996,0.00037489126840511066
0.25,0.165771484375,0.04899060185462143,0.0015153700847814007,0.0003955075279050555
0.30000000000000004,0.1893310546875,0.05173746585125684,0.0016003356775662486,0.0004176833197441629
0.35000000000000003,0.2132568359375,0.05468642957293515,0.0016915525892955213,0.00044149068906172635
0.4,0.2374267578125,0.05782754277647668,0.001788713040511935,0.0004668493062448595
0.45,0.261962890625,0.061177842114729326,0.001892344006453458,0.0004938967104173243
0.5,0.287353515625,0.06480530340504503,0.002004548105095868,0.0005231816792315769
0.55,0.31298828125,0.06861441809327742,0.0021223710799018873,0.0005539331596547044
0.6000000000000001,0.3408203125,0.07288375496887903,0.0022544295796594373,0.0005884000739105005
0.65,0.3701171875,0.07747314053739156,0.0023963877784725293,0.000625450783068798
0.7000000000000001,0.404541015625,0.08288283732223704,0.0025637197230732396,0.0006691239718252724
0.75,0.447998046875,0.08948291485295763,0.002767872349672343,0.0007224072598302504
0.8,0.495849609375,0.09597306256035866,0.0029686246431590243,0.0007748030700125803
0.8500000000000001,0.5458984375,0.10120893153769055,0.003130579771606487,0.0008170729241736792
0.9,0.60009765625,0.10431119916011901,0.003226538657026274,0.0008421179359064924
0.9500000000000001,0.701171875,0.10158567053306417,0.003142233006752565,0.0008201143872928262
1.0,3.056640625,0.003197841192103915,9.891515300783829e-05,2.5816589644584368e-05
