,option_distance_100_km,option_grade,option_beds,option_rep
0.0,0.00010001659393310547,0.0053968984317062305,0.0010284066613612036,0.0001552861885779462
0.05,0.034820556640625,0.007336717462988985,0.0013980491215354498,0.0002111010436675258
0.1,0.050872802734375,0.00849486047222502,0.0016187392087362756,0.0002444245564236477
0.15000000000000002,0.0640869140625,0.009583024450853928,0.001826094432933349,0.0002757345465832503
0.2,0.0762939453125,0.010689299590401692,0.0020369008316836646,0.00030756565330367026
0.25,0.08770751953125,0.011792565065631788,0.0022471337234703194,0.0003393101622667479
0.30000000000000004,0.09906005859375,0.012922653186242057,0.0024624778078305176,0.00037182644531847525
0.35000000000000003,0.11053466796875,0.014045888605725285,0.0026765160748631243,0.000404145554038881
0.4,0.1221923828125,0.015093437656169212,0.002876131916297173,0.0004342869216133039
0.45,0.1343994140625,0.015991382206860492,0.0030472398534113344,0.0004601236848201115
0.5,0.1473388671875,0.016607436178161964,0.0031646320956151886,0.0004778495461406976
0.55,0.1614990234375,0.01678120645113969,0.0031977449118999954,0.00048284947780891866
0.6000000000000001,0.1776123046875,0.01630913888722905,0.003107790017717417,0.0004692665702040068
0.65,0.19580078125,0.015065725427439837,0.0028708512090563215,0.0004334895513402035
0.7000000000000001,0.215576171875,0.013223237115913854,0.0025197556164615895,0.00038047521523274576
0.75,0.237548828125,0.011052347842814123,0.0021060815372131642,0.00031801172341234694
0.8,0.264892578125,0.008643551899316437,0.0016470731223800375,0.00024870288874348387
0.8500000000000001,0.298095703125,0.00639617140332315,0.0012188232485053406,0.0001840384975337202
0.9,0.339111328125,0.004509577767072621,0.000859323160194746,0.00012975510886595665
0.9500000000000001,0.4072265625,0.002721321316721947,0.0005185617267465058,7.830119846003276e-05
1.0,0.8447265625,0.00041539791956893204,7.915620295733757e-05,1.1952339012738148e-05
